"Code Article";"Description";"Description 2";"Code Famille";"Titre Famille";"Sous-famille";"Nomenclature";"Pays d'origine";"Section";"Unité de mesure";"Code à Barres";"Code Barres Fournisseur";"Prix Unitaire";"Remise Promotion";"Prix d'Achat de Défaut";"TVA";"Existance";"Inventaire de Sécurité";"Commentaires";"Catégorie";"Fabriqué";"Suivi de Produit";"Coût par Numéro de Série";"Inactive"
"RTM357921";"(SEM IVA)(EXCELLENT) Samsung S24 Plus 256GB Yellow";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S23 Ultra";"Samsung";"";"";"Uni";"5600358357921";"RTM357921";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM387102";"(SEM IVA)(EXCELLENT) Samsung S24 Plus 512GB Cobalt Violet";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24";"Samsung";"";"";"Uni";"5600358387102";"";"0,00";"0";"0,00";"20";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369764";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 1TB Titanium Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358369764";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369757";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 1TB Titanium Gray";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358369757";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369795";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 1TB Titanium Green";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358369795";"RTM369795";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM369788";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 1TB Titanium Violet";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358369788";"RTM369788";"0,00";"0";"0,00";"0";"1";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM357891";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 256GB Titanium Black";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358357891";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM342880";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 256GB Titanium Gray";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358342880";"";"0,00";"0";"0,00";"0";"2";"0";"";"Semi-novos";"0";"1";"0";"0"
"RTM367982";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 256GB Titanium Green";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"";"";"";"Uni";"5600358367982";"";"0,00";"0";"0,00";"0";"0";"0";"";"Semi-novos";"0";"1";"1";"0"
"RTM356474";"(SEM IVA)(EXCELLENT) Samsung S24 Ultra 256GB Titanium Violet";"";"com margem IVA";"Seminovos (com margem IVA)";"Samsung S24 Ultra";"Samsung";"";"";"Uni";"5600358356474";"";"0,00";"0";"0,00";"0";"2";"0";"";"Semi-novos";"0";"1";"1";"0"
